2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,6,S-0006-0005-A-23-3510-4883483Q-N,E7701241/952600/0006,1000989376
2025-09,Bukarest,QASSIM,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,7003,S-7003-0009-C-11-3510-4883483Q-N,E7700917/797700/7003,1000988588
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,6,S-0006-0003-A-23-3510-4883483Q-N,E7701241/952600/0006,1000989520
2025-08,Bukarest,RABIGH 2,W,A2000021,Erlangen,Berlin,Deutschland,Saudi-Arabien,4,S-0004-0001-G-23-3510-4883483Q-N,E7701241/952600/0004,1000989547
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,44,S-0044-0001-A-23-3510-4883483Q-N,E7701241/952600/0044,1000990823
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,58,S-0058-0007-A-23-3510-4883483Q-N,E7701241/952600/0058,1000990417
2025-07,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,5,S-0005-0001-A-23-3510-4883483Q-N,E7701241/952600/0005,1000990734
2025-07,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,4001,S-4001-0001-A-23-3510-4883483Q-N,E7701241/952600/4001,1000990770
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,58,S-0058-0003-A-23-3510-4883483Q-N,E7701241/952600/0058,1000990608
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,6,S-0006-0015-A-23-3510-4883483Q-N,E7701241/952600/0006,1000994357
2025-07,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,4000,S-4000-0002-A-23-3510-4883483Q-T,E7701241/952600/4000,1000990767
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,45,S-0045-0001-A-23-3510-4883483Q-N,E7701241/952600/0045,1000993005
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,6,S-0006-0012-A-23-3510-4883483Q-N,E7701241/952600/0006,1000992262
2025-09,Bukarest,QASSIM,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,7003,S-7003-0010-C-11-3510-4883483Q-N,E7700917/797700/7003,1000992421
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0021-A-11-3510-4883483Q-N,E7700918/798000/8004,1000993727
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0022-A-11-3510-4883483Q-N,E7700918/798000/8004,1000995833
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,54,S-0054-0001-A-23-3510-4883483Q-N,E7701241/952600/0054,1000994632
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,6,S-0006-0009-A-23-3510-4883483Q-N,E7701241/952600/0006,1000993729
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,46,S-0046-0001-A-23-3510-4883483Q-N,E7701241/952600/0046,1000995185
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0004-A-11-3510-4883483Q-N,E7700918/798000/8004,1000993850
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,6,S-0006-0011-A-23-3510-4883483Q-N,E7701241/952600/0006,1000996043
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,58,S-0058-0002-A-23-3510-4883483Q-N,E7701241/952600/0058,1000994630
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,49,S-0049-0001-A-23-3510-4883483Q-N,E7701241/952600/0049,1000997241
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0006-A-11-3510-4883483Q-N,E7700918/798000/8004,1000996767
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,6,S-0006-0010-A-23-3510-4883483Q-N,E7701241/952600/0006,1000995754
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,47,S-0047-0001-A-23-3510-4883483Q-N,E7701241/952600/0047,1000995750
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,53,S-0053-0001-A-23-3510-4883483Q-N,E7701241/952600/0053,1000997230
2025-09,Bukarest,QASSIM,W,A2000021,Erlangen,Berlin,Deutschland,Saudi-Arabien,41,A-0041-0001-G-11-3510-4883483Q-N,E7700917/797700/0041,1000996176
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,48,S-0048-0001-A-23-3510-4883483Q-N,E7701241/952600/0048,1000996441
2025-07,Bukarest,Almaty,P3,A2000035,Erlangen,Hamburg,Deutschland,China (P.R.),138,S-0138-0001-A-20-3510-4883483Q-N,AH036258/981000/0138,1000997820
2025-07,Berlin,G-USA-Missouri,G,A2000035,Berlin,Hamburg,Deutschland,Vereinigte Staaten,1,S-0001-0001-C-10-3510-AH007735-N,AH007735/3000024203/0001,1000998794
2025-07,Berlin,G-USA-Missouri,G,A2000035,Berlin,Hamburg,Deutschland,Vereinigte Staaten,1,S-0001-0007-C-10-3510-AH007735-N,AH007735/3000024203/0001,1000999111
2025-07,Berlin,G-USA-Missouri,G,A2000035,Berlin,Hamburg,Deutschland,Vereinigte Staaten,1,S-0001-0002-C-10-3510-AH007735-N,AH007735/3000024203/0001,1000998772
2025-07,Berlin,G-USA-Missouri,G,A2000035,Berlin,Hamburg,Deutschland,Vereinigte Staaten,1,S-0001-0005-C-10-3510-AH007735-N,AH007735/3000024203/0001,1000999545
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,50,S-0050-0001-A-23-3510-4883483Q-N,E7701241/952600/0050,1000998440
2025-07,Berlin,G-USA-Missouri,G,A2000035,Berlin,Hamburg,Deutschland,Vereinigte Staaten,1,S-0001-0006-C-10-3510-AH007735-N,AH007735/3000024203/0001,1000999284
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0002-A-00-3510-4883483Q-N,AH038247/783100/0027,1001001626
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0008-A-11-3510-4883483Q-N,E7700918/798000/8004,1000999321
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0009-A-11-3510-4883483Q-N,E7700918/798000/8004,1000999317
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0014-A-11-3510-4883483Q-N,E7700918/798000/8004,1000999550
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0001-A-00-3510-4883483Q-N,AH038247/783100/0027,1001001481
2025-09,Bukarest,TAIBA,W,A7000199,Erlangen,Falkensee,Deutschland,Saudi-Arabien,8005,S-8005-0002-A-11-3510-4883483Q-N,E7700918/798000/8005,1000999312
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0011-A-11-3510-4883483Q-N,E7700918/798000/8004,1000999319
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0012-A-11-3510-4883483Q-N,E7700918/798000/8004,1000999315
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0013-A-11-3510-4883483Q-N,E7700918/798000/8004,1000999316
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0015-A-11-3510-4883483Q-N,E7700918/798000/8004,1001002426
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0016-A-11-3510-4883483Q-N,E7700918/798000/8004,1001002424
2025-08,Berlin,G-USA-Missouri,G,A2000035,Berlin,Hamburg,Deutschland,Vereinigte Staaten,2,S-0002-0002-C-10-3510-AH007735-N,AH007735/3000024203/0002,1001006595
2025-08,Berlin,G-USA-Missouri,G,A2000035,Berlin,Hamburg,Deutschland,Vereinigte Staaten,2,S-0002-0003-C-10-3510-AH007735-N,AH007735/3000024203/0002,1001006306
2025-08,Berlin,G-USA-Missouri,G,A2000035,Berlin,Hamburg,Deutschland,Vereinigte Staaten,2,S-0002-0004-C-10-3510-AH007735-N,AH007735/3000024203/0002,1001003596
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0004-A-00-3510-4883483Q-N,AH038247/783100/0027,1001004711
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0005-A-00-3510-4883483Q-N,AH038247/783100/0027,1001004529
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0017-A-11-3510-4883483Q-N,E7700918/798000/8004,1001004444
2025-07,Bukarest,O-Jebel Ali M,O,A2000021,Berlin,Berlin,Deutschland,Vereinigte Arabische Emirate,1256,A-1256-0002-C-  -0000-4883483Q-N,AH036464/JAM_LT/1256,1001005095
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0006-A-00-3510-4883483Q-N,AH038247/783100/0027,1001005503
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0012-A-00-3510-4883483Q-N,AH038247/783100/0027,1001006346
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0008-A-00-3510-4883483Q-N,AH038247/783100/0027,1001005630
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,32,T-0032-0001-A-00-3510-4883483Q-N,AH038247/783100/0032,1001008423
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0007-A-00-3510-4883483Q-N,AH038247/783100/0027,1001005612
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0010-A-00-3510-4883483Q-N,AH038247/783100/0027,1001007351
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0009-A-00-3510-4883483Q-N,AH038247/783100/0027,1001005834
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0011-A-00-3510-4883483Q-N,AH038247/783100/0027,1001007853
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,35,T-0035-0001-A-00-3510-4883483Q-N,AH038247/783100/0035,1001008393
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,36,T-0036-0001-G-00-3510-4883483Q-N,AH038247/783100/0036,1001008658
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0015-A-00-3510-4883483Q-N,AH038247/783100/0027,1001008660
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,33,T-0033-0002-A-00-3510-4883483Q-N,AH038247/783100/0033,1001008761
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0013-A-00-3510-4883483Q-N,AH038247/783100/0027,1001006343
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0014-A-00-3510-4883483Q-N,AH038247/783100/0027,1001006110
2025-08,Bukarest,Black Point D2,W,A7000199,Erlangen,Falkensee,Deutschland,Deutschland,1186,A-1186-0002-A-10-3510-4883483Q-N,AH038223/645000/1186,1001005806
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,58,S-0058-0005-A-23-3510-4883483Q-N,E7701241/952600/0058,1001006254
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,34,T-0034-0002-A-00-3510-4883483Q-N,AH038247/783100/0034,1001008735
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0016-A-00-3510-4883483Q-N,AH038247/783100/0027,1001008734
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0010-A-11-3510-4883483Q-N,E7700918/798000/8004,1001007536
2025-07,Bukarest,QASSIM,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,231,S-0231-0001-C-11-3510-4883483Q-N,E7700917/797700/0231,1001007482
2025-09,Bukarest,QASSIM,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,7003,S-7003-0011-C-11-3510-4883483Q-N,E7700917/797700/7003,1001008890
2025-08,Bukarest,O-Emile Huchet,O,,Berlin,Saint - Avold cedex,Frankreich,Frankreich,1156,T-1156-0004-C-O-0889-01-UmfuhrUSP-,AH036468/088901/1156,1001009273
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,30,T-0030-0001-A-00-3510-4883483Q-N,AH038247/783100/0030,1001009246
2025-07,Bukarest,Adamow,W,A2000021,Erlangen,Berlin,Deutschland,Polen,37,T-0037-0001-G-00-3510-4883483Q-N,AH038247/783100/0037,1001009322
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0018-A-00-3510-4883483Q-N,AH038247/783100/0027,1001009265
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0017-A-00-3510-4883483Q-N,AH038247/783100/0027,1001008701
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0002-A-11-3510-4883483Q-N,E7700918/798000/8004,1001008821
2025-09,Bukarest,QASSIM,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,7003,S-7003-0008-C-11-3510-4883483Q-N,E7700917/797700/7003,1001010505
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8004,S-8004-0018-A-11-3510-4883483Q-N,E7700918/798000/8004,1001009847
2025-07,Bukarest,QASSIM,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,231,S-0231-0002-C-11-3510-4883483Q-N,E7700917/797700/0231,1001013188
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0026-A-00-3510-4883483Q-N,AH038247/783100/0027,1001013206
2025-09,Bukarest,TAIBA,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,8007,S-8007-0009-A-13-3510-4883483Q-N,E7700918/798000/8007,1001012779
2025-07,Bukarest,QASSIM,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,229,S-0229-0001-C-11-3510-4883483Q-N,E7700917/797700/0229,1001012036
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,29,T-0029-0001-A-00-3510-4883483Q-N,AH038247/783100/0029,1001012686
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0019-A-00-3510-4883483Q-N,AH038247/783100/0027,1001012406
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,28,T-0028-0001-A-00-3510-4883483Q-N,AH038247/783100/0028,1001012799
2025-09,Bukarest,O-Sloecentrale,O,,Berlin,Ritthem,Niederlande,Niederlande,1650,S-1650-0001-C-O-0486-01-A-N,AH036468/048601/1650,1001013792 Ret TV1462
2025-09,Bukarest,O-Sloecentrale,O,,Berlin,Ritthem,Niederlande,Niederlande,1650,S-1650-0002-C-O-0486-01-A-N,AH036468/048601/1650,1001013791 Ret TV1462
